Requirement,Test Case,Verdict
RQ20,us900.c,partial 
RQ22,us1005.c,partial 
RQ22,us1159.c,partial 
RQ22,us3496.c,weak
RQ22,us3512.c,partial 
RQ22,us3612.c,weak
RQ22,us4020.c,partial 
RQ22,us748.c,weak
RQ22,us893.c,partial 
RQ22,us895.c,weak
RQ22,us896.c,weak
RQ22,us897.c,partial 
RQ22,us898.c,partial 
RQ22,us899.c,weak
RQ22,us900.c,weak
RQ23,us1005.c,weak
RQ24,us1159.c,partial 
RQ25,us1159.c,partial 
RQ25,us3512.c,weak
RQ25,us3612.c,weak
RQ25,us748.c,partial 
RQ25,us893.c,partial 
RQ25,us896.c,weak
RQ25,us898.c,partial 
RQ25,us899.c,partial 
RQ25,us900.c,partial 
RQ26,us894.c,partial 
RQ26,us1060.c,partial 
RQ26,us1864.c,partial 
RQ26,us1005.c,partial 
RQ26,us1159.c,partial 
RQ26,us1883.c,partial 
RQ26,us2174.c,partial 
RQ26,us3496.c,weak
RQ26,us3512.c,partial 
RQ26,us3612.c,partial 
RQ26,us4020.c,weak
RQ26,us748.c,weak
RQ26,us893.c,partial 
RQ26,us895.c,weak
RQ26,us896.c,weak
RQ26,us897.c,partial 
RQ26,us898.c,partial 
RQ26,us899.c,partial 
RQ26,us900.c,weak
RQ29,us1005.c,partial 
RQ29,us1159.c,partial 
RQ29,us3496.c,weak
RQ29,us3512.c,partial 
RQ29,us3612.c,weak
RQ29,us4020.c,partial 
RQ29,us748.c,partial 
RQ29,us893.c,partial 
RQ29,us895.c,weak
RQ29,us896.c,weak
RQ29,us897.c,partial 
RQ29,us898.c,partial 
RQ29,us899.c,partial 
RQ29,us900.c,partial 
RQ31,us1864.c,weak
RQ31,us901.c,full
RQ32,us1060.c,weak
RQ32,us1864.c,weak
RQ32,us901.c,full
RQ33,us894.c,full
RQ33,us1864.c,weak
RQ33,us901.c,full
RQ33,us1005.c,partial 
RQ33,us1159.c,weak
RQ33,us1883.c,partial 
RQ33,us2174.c,weak
RQ33,us3496.c,partial 
RQ33,us3512.c,partial 
RQ33,us3612.c,weak
RQ33,us4020.c,weak
RQ33,us748.c,weak
RQ33,us893.c,weak
RQ33,us895.c,weak
RQ33,us896.c,partial 
RQ33,us897.c,full
RQ33,us898.c,weak
RQ33,us899.c,weak
RQ33,us900.c,partial 
RQ34,us894.c,partial 
RQ34,us1864.c,partial 
RQ34,us901.c,partial 
RQ34,us1005.c,partial 
RQ34,us1159.c,weak
RQ34,us1883.c,weak
RQ34,us2174.c,partial 
RQ34,us3496.c,weak
RQ34,us3512.c,partial 
RQ34,us3612.c,partial 
RQ34,us4020.c,weak
RQ34,us748.c,partial 
RQ34,us893.c,partial 
RQ34,us895.c,partial 
RQ34,us896.c,partial 
RQ34,us897.c,full
RQ34,us898.c,partial 
RQ34,us899.c,partial 
RQ34,us900.c,weak
RQ35,us1864.c,partial 
RQ35,us901.c,partial 
RQ35,us1005.c,partial 
RQ35,us1159.c,partial 
RQ35,us1883.c,partial 
RQ35,us2174.c,partial 
RQ35,us3496.c,weak
RQ35,us3512.c,partial 
RQ35,us3612.c,partial 
RQ35,us4020.c,partial 
RQ35,us748.c,partial 
RQ35,us893.c,partial 
RQ35,us895.c,partial 
RQ35,us896.c,partial 
RQ35,us897.c,partial 
RQ35,us898.c,partial 
RQ35,us899.c,partial 
RQ35,us900.c,partial 
RQ36,us1005.c,partial 
RQ36,us1159.c,partial 
RQ36,us1883.c,partial 
RQ36,us2174.c,partial 
RQ36,us3496.c,partial 
RQ36,us3512.c,partial 
RQ36,us3612.c,partial 
RQ36,us4020.c,partial 
RQ36,us748.c,partial 
RQ36,us893.c,partial 
RQ36,us895.c,weak
RQ36,us896.c,weak
RQ36,us897.c,weak
RQ36,us898.c,partial 
RQ36,us899.c,full
RQ36,us900.c,weak
RQ37,us894.c,weak
RQ37,us1159.c,weak
RQ37,us1883.c,partial 
RQ37,us2174.c,partial 
RQ37,us3512.c,partial 
RQ37,us3612.c,weak
RQ37,us4020.c,weak
RQ37,us748.c,weak
RQ37,us893.c,full
RQ37,us898.c,full
RQ37,us899.c,weak
RQ38,us1005.c,partial 
RQ38,us1159.c,partial 
RQ38,us1883.c,partial 
RQ38,us2174.c,partial 
RQ38,us3512.c,partial 
RQ38,us3612.c,partial 
RQ38,us4020.c,partial 
RQ38,us748.c,partial 
RQ38,us893.c,partial 
RQ38,us898.c,partial 
RQ38,us899.c,partial 
RQ40,us1005.c,weak
RQ40,us1159.c,partial 
RQ40,us3512.c,weak
RQ40,us3612.c,weak
RQ40,us748.c,weak
RQ40,us893.c,partial 
RQ40,us898.c,weak
RQ40,us899.c,weak
RQ41,us1005.c,weak
RQ41,us1159.c,partial 
RQ41,us3512.c,weak
RQ41,us3612.c,weak
RQ41,us748.c,partial 
RQ41,us893.c,partial 
RQ41,us898.c,partial 
RQ41,us899.c,weak
RQ42,us894.c,partial 
RQ47,us1159.c,partial 
RQ47,us1883.c,weak
RQ47,us2174.c,weak
RQ47,us3512.c,partial 
RQ47,us3612.c,partial 
RQ47,us4020.c,weak
RQ47,us748.c,weak
RQ47,us898.c,partial 
RQ47,us899.c,weak
RQ48,us1159.c,partial 
RQ48,us3512.c,partial 
RQ48,us3612.c,partial 
RQ48,us748.c,weak
RQ48,us893.c,weak
RQ48,us896.c,full
RQ48,us898.c,weak
RQ48,us899.c,weak
RQ48,us900.c,full
RQ49,us1159.c,partial 
RQ49,us1883.c,weak
RQ49,us2174.c,weak
RQ49,us3512.c,partial 
RQ49,us3612.c,partial 
RQ49,us4020.c,weak
RQ49,us748.c,partial 
RQ49,us898.c,partial 
RQ49,us899.c,partial 
RQ50,us1159.c,partial 
RQ50,us1005.c,partial 
RQ50,us1883.c,partial 
RQ50,us2174.c,partial 
RQ50,us3512.c,weak
RQ50,us3612.c,weak
RQ50,us4020.c,partial 
RQ50,us748.c,partial 
RQ50,us893.c,weak
RQ50,us898.c,weak
RQ50,us899.c,weak
RQ51,us894.c,partial 
RQ51,us1159.c,partial 
RQ51,us1864.c,weak
RQ51,us901.c,partial 
RQ51,us1005.c,partial 
RQ51,us1883.c,partial 
RQ51,us2174.c,partial 
RQ51,us3496.c,weak
RQ51,us3512.c,partial 
RQ51,us3612.c,partial 
RQ51,us4020.c,partial 
RQ51,us748.c,partial 
RQ51,us893.c,partial 
RQ51,us895.c,partial 
RQ51,us896.c,partial 
RQ51,us897.c,partial 
RQ51,us898.c,partial 
RQ51,us899.c,partial 
RQ51,us900.c,partial 
RQ55,us894.c,full
RQ55,us1864.c,weak
RQ55,us901.c,full
RQ55,us1005.c,partial 
RQ55,us1159.c,weak
RQ55,us3512.c,partial 
RQ55,us3612.c,weak
RQ55,us748.c,weak
RQ55,us893.c,weak
RQ55,us895.c,weak
RQ55,us896.c,partial 
RQ55,us897.c,full
RQ55,us898.c,weak
RQ55,us899.c,weak
RQ55,us900.c,weak
RQ56,us894.c,partial 
RQ56,us1159.c,partial 
RQ56,us1005.c,partial 
RQ56,us1883.c,weak
RQ56,us2174.c,weak
RQ56,us3512.c,partial 
RQ56,us3612.c,partial 
RQ56,us4020.c,weak
RQ56,us748.c,partial 
RQ56,us893.c,weak
RQ56,us895.c,full
RQ56,us896.c,full
RQ56,us897.c,weak
RQ56,us898.c,partial 
RQ56,us899.c,partial 
RQ56,us900.c,full
RQ57,us894.c,partial 
RQ57,us1005.c,partial 
RQ57,us1159.c,partial 
RQ57,us1883.c,partial 
RQ57,us2174.c,partial 
RQ57,us3512.c,partial 
RQ57,us3612.c,partial 
RQ57,us4020.c,partial 
RQ57,us748.c,partial 
RQ57,us893.c,partial 
RQ57,us898.c,full
RQ57,us899.c,partial 
