Requirement Id,Chunk,Description,Test,Verdict,Confidence,Gap,Reasoning
RQ128,requirements.txt::chunk28,RQ128	On receipt of an event message the eventserver shall record the event in an eventlog.,TC159,assertions_verified,full,False,"The test line directly asserts that upon receiving an event message the event server stores event details in its event log, matching the requirement."
RQ129,requirements.txt::chunk29,RQ129	On receipt of an event; the eventserver shall identify all relevant subscribers for the event.,TC160,assertions_verified,full,False,"The test's steps and postcondition explicitly state identification of impacted requirements, searching for subscribers, and that all relevant subscribers are identified, directly satisfying the requirement."
RQ130,requirements.txt::chunk30,RQ130	The eventserver shall differentiate between evolutionary and speculative events.,TC159,assertions_verified,full,False,"The test contains a direct, explicit statement that the event server categorizes events as speculative or evolutionary, which matches the requirement verbatim."
RQ131,requirements.txt::chunk31,RQ131	When an evolutionary event occurs; the eventserver shall notify subscribers of the event.,TC161,assertions_verified,full,False,"Direct mapping: explicitly references an 'evolutionary event', shows sending notifications, and asserts receipt by subscriber managers."
RQ131,requirements.txt::chunk31,RQ131	When an evolutionary event occurs; the eventserver shall notify subscribers of the event.,TC147,assertions_verified,partial,False,Shows notification on requirement change but lacks explicit labeling as an evolutionary event and lacks end-to-end receipt assertions in this chunk.
RQ131,requirements.txt::chunk31,RQ131	When an evolutionary event occurs; the eventserver shall notify subscribers of the event.,TC149,assertions_verified,partial,False,Confirms notification send and receipt for non‑speculative notifications but does not explicitly tie the send action to an evolutionary event trigger.
RQ131,requirements.txt::chunk31,RQ131	When an evolutionary event occurs; the eventserver shall notify subscribers of the event.,TC162,assertions_verified,partial,False,Demonstrates notification send behavior but is scoped to a speculative event rather than an evolutionary event.
RQ132,requirements.txt::chunk32,RQ132	For speculative events; the eventserver shall construct a composite event message.,TC162,assertions_verified,full,False,"The test text directly states that upon receipt of a speculative event the event server constructs the composite event message (including related quantitative constraints) and sends it to the subscriber, which matches the requirement."
RQ133,requirements.txt::chunk33,RQ133	The eventserver shall identify all related requirements and constraints for each impacted executable model.,TC160,partially_verified,partial,True,"Identifies impacted requirements and subscribers but does not assert discovery of all related requirements, retrieval of quantitative constraints, or mapping per impacted executable model."
RQ133,requirements.txt::chunk33,RQ133	The eventserver shall identify all related requirements and constraints for each impacted executable model.,TC162,partially_verified,partial,True,"Covers identification of additional related requirements, constraint retrieval from DOORS, and composite message construction per subscriber/artifact, but does not assert mapping or identification 'for each impacted executable model' nor completeness for 'all' related requirements or conflict/error handling."
RQ134,requirements.txt::chunk34,RQ134	The eventserver shall retrieve quantitative values related to these additional requirements and constraints through querying the requirements management tool.,TC162,partially_verified,partial,True,"Test explicitly states polling DOORS and including quantitative constraints in a composite message, but missing assertions for error cases, validation, units, and boundary handling."
RQ135,requirements.txt::chunk35,RQ135	The eventserver shall create a composite speculative message which includes the speculative event plus all related requirements and constraint values for each impacted model.,TC162,partially_verified,partial,True,"This test step directly asserts construction of a composite message with changed requirement and quantitative constraints, but does not explicitly assert inclusion of the speculative event itself or per-impacted-model coverage."
RQ136,requirements.txt::chunk36,RQ136	The eventserver shall send the customized message to each impacted executable model.,TC161,partially_verified,partial,True,Asserts per-recipient send behavior to subscriber managers for evolutionary events but does not state the message is customized per executable model nor assert receipt by executable models or error scenarios.
RQ136,requirements.txt::chunk36,RQ136	The eventserver shall send the customized message to each impacted executable model.,TC162,partially_verified,partial,True,"Asserts construction of a customized/composite message and sending to each identified subscriber for speculative events, but does not assert delivery to executable model endpoints or error/delivery guarantees."
RQ137,requirements.txt::chunk37,RQ137	The user shall view all evolutionary events received for a specific artifact in the order in which they were received.,TC163,partially_verified,full,True,"Direct, explicit assertion that display order equals receipt order for events of a single artifact and precondition requires multiple received events."
RQ137,requirements.txt::chunk37,RQ137	The user shall view all evolutionary events received for a specific artifact in the order in which they were received.,TC164,partially_verified,partial,True,"Enforces processing order and references received messages, supporting ordering concept, but does not explicitly verify that the displayed listing equals receipt order or cover tie/edge cases."
RQ137,requirements.txt::chunk37,RQ137	The user shall view all evolutionary events received for a specific artifact in the order in which they were received.,TC165,partially_verified,partial,True,Confirms messages are displayed for a single artifact and that there is a notion of 'first' message but lacks an explicit assertion tying display order to receipt timestamps or addressing boundary/error cases.
RQ138,requirements.txt::chunk38,RQ138	The user shall update related artifacts according to the information contained in the event messages.,TC165,partially_verified,partial,True,The test step instructs the user to perform the update (matching the requirement) but does not include an explicit assertion verifying the artifact's state after the update.
RQ139,requirements.txt::chunk39,RQ139	The user shall eliminate unnecessary traces that were temporarily constructed by the eventserver during initial event processing.,TC165,assertions_verified,full,False,"The test explicitly states user discarding of tentative links and removal of event messages generated by those tentative links, which directly implements the requirement's elimination of unnecessary temporary traces."
RQ140,requirements.txt::chunk40,RQ140	The notification processing system shall automatically eliminate any events that are not longer valid as a result of the user eliminating temporary traces.,TC165,partially_verified,partial,True,"Directly asserts removal from processing list and display when a tentative link is eliminated, but does not assert automation timing, backend persistence, concurrency, multi-link policy, failure handling, or performance guarantees."
