Requirement Id,Chunk,Description,Test,Verdict,Confidence,Gap,Reasoning
RQ111,requirements.txt::chunk11,RQ111	A subscriber manager shall receive event notifications on behalf of the artifacts that it manages.,TC149,assertions_verified,full,False,"The test explicitly asserts the subscriber manager receives the event notification and stores it, directly verifying the requirement."
RQ111,requirements.txt::chunk11,RQ111	A subscriber manager shall receive event notifications on behalf of the artifacts that it manages.,TC150,assertions_verified,full,False,"The test explicitly asserts receipt and subsequent processing of the notification, directly verifying the requirement."
RQ111,requirements.txt::chunk11,RQ111	A subscriber manager shall receive event notifications on behalf of the artifacts that it manages.,TC161,assertions_verified,full,False,"The postcondition explicitly states event messages are received by subscriber managers on behalf of managed subscribers, matching the requirement."
RQ112,requirements.txt::chunk12,RQ112	A subscriber manager shall manage traces for one or more artifacts.,TC141,partially_verified,full,True,"The postcondition directly asserts successful establishment of a trace between a UML artifact and the requirement, which verifies trace creation for a single artifact."
RQ112,requirements.txt::chunk12,RQ112	A subscriber manager shall manage traces for one or more artifacts.,TC142,partially_verified,partial,True,"The postcondition asserts rejection of trace establishment by a non-registered subscriber, which verifies an access/control aspect but not full trace management functionality."
RQ113,requirements.txt::chunk13,RQ113	On receipt of an event message; the subscriber manager shall differentiate between speculative and evolutionary events.,TC149,partially_verified,partial,True,Shows handling for a non-speculative (evolutionary) event but does not assert that the subscriber manager performed an explicit classification step distinguishing it from speculative events.
RQ113,requirements.txt::chunk13,RQ113	On receipt of an event message; the subscriber manager shall differentiate between speculative and evolutionary events.,TC152,partially_verified,partial,True,Directly asserts detection of speculative events on receipt but does not assert recognition of evolutionary events or mutually exclusive handling paths.
RQ113,requirements.txt::chunk13,RQ113	On receipt of an event message; the subscriber manager shall differentiate between speculative and evolutionary events.,TC150,partially_verified,weak,True,Generic postcondition indicates processing occurred but lacks an explicit assertion that the message was classified as speculative or evolutionary or that different branches were taken.
RQ114,requirements.txt::chunk14,RQ114	The subscriber manager shall store information for evolutionary events in an eventlog.,TC149,partially_verified,partial,True,"The test directly asserts storage in the local event log but refers to a 'non-speculative event notification' rather than explicitly to 'evolutionary' events and does not cover durability, concurrency, or metadata assertions."
RQ115,requirements.txt::chunk15,RQ115	The user shall be able to construct speculative queries using a GUI.,TC151,assertions_verified,full,False,"The test step explicitly matches the requirement by stating construction via a GUI and the postcondition that ""A speculative event message is received by the event server."""
RQ116,requirements.txt::chunk16,RQ116	The subscriber manager shall immediately process speculative events.,TC150,partially_verified,partial,True,"Asserts receipt and that the notification is processed according to protocols, but lacks explicit immediacy/timing bounds and detailed processing or error-path assertions."
RQ116,requirements.txt::chunk16,RQ116	The subscriber manager shall immediately process speculative events.,TC152,partially_verified,partial,True,"Directly asserts receipt and end-to-end processing steps for speculative events but contains no timing/latency assertion for ""immediately"" nor failure-path assertions."
RQ117,requirements.txt::chunk17,RQ117	The subscriber manager shall re execute the model using the speculative values.,TC152,assertions_verified,full,False,"The test sentence directly states injection of values and re-execution of the performance model, which matches the requirement's core action."
RQ118,requirements.txt::chunk18,RQ118	The subscriber manager shall report results indicating whether the speculative change negatively impacts other requirements and constraints.,TC152,partially_verified,partial,True,Shows model execution and a returned response (core behavior) but contains no explicit assertion that the response indicates whether the speculative change negatively impacts other requirements/constraints.
RQ118,requirements.txt::chunk18,RQ118	The subscriber manager shall report results indicating whether the speculative change negatively impacts other requirements and constraints.,TC162,partially_verified,weak,True,Provides related-requirement quantitative constraints to the subscriber (necessary input) but does not assert that the subscriber manager reports negative-impact determinations using that data.
RQ119,requirements.txt::chunk19,RQ119	The subscriber manager shall restore the executable model to its prior state.,TC152,assertions_verified,full,False,"The test text explicitly states the subscriber manager ""restores the model to its prior state"" and includes a postcondition affirming restoration."
RQ120,requirements.txt::chunk20,RQ120	The prototype system shall utilize a driver to trigger events.,TC153,partially_verified,partial,True,"States the trigger driver is running and that a new event message is sent, supporting the scenario-level behaviour but missing direct verification of driver invocation paths or failure handling."
RQ120,requirements.txt::chunk20,RQ120	The prototype system shall utilize a driver to trigger events.,TC154,partially_verified,partial,True,"Specifies the trigger driver is running and expects a decompose event message, but lacks an explicit assertion that the driver component invoked the event or instrumentation verifying driver calls."
RQ120,requirements.txt::chunk20,RQ120	The prototype system shall utilize a driver to trigger events.,TC155,partially_verified,partial,True,"Declares the driver is running and expects a refine event message, but does not assert or instrument that the driver performed the trigger or verify driver-specific outputs or errors."
RQ120,requirements.txt::chunk20,RQ120	The prototype system shall utilize a driver to trigger events.,TC156,partially_verified,partial,True,"Assumes the trigger driver is running and expects a modify event message, but contains no explicit assertion that the driver component triggered the event or how the driver behaves on error."
RQ120,requirements.txt::chunk20,RQ120	The prototype system shall utilize a driver to trigger events.,TC158,partially_verified,partial,True,"Demonstrates expected merge event emission with the trigger driver running, but lacks explicit assertions that the driver component performed the trigger and omits negative/error and boundary scenarios."
RQ121,requirements.txt::chunk21,RQ121	Event types shall include adding new requirements.,TC153,assertions_verified,full,False,"TC153 explicitly states a user action adds a new requirement and that a new event message is sent, directly verifying the requirement."
RQ121,requirements.txt::chunk21,RQ121	Event types shall include adding new requirements.,TC155,assertions_verified,partial,False,TC155 documents adding an additional requirement but does so via a 'refine' event and does not assert a dedicated 'add new requirement' event type.
RQ122,requirements.txt::chunk22,RQ122	Event types shall include decomposing one requirement into two or more requirements.,TC154,assertions_verified,full,False,"The test case explicitly performs a decompose event and asserts both the split into two or more requirements and the sending of a decompose event message plus establishment of temporary links, directly satisfying the requirement."
RQ123,requirements.txt::chunk23,RQ123	Event types shall include refining one requirement by adding an additional requirement to the existing one.,TC155,assertions_verified,full,False,The test steps and post condition directly assert invocation of a refine event and that the original requirement is refined by adding at least one related requirement.
RQ124,requirements.txt::chunk24,RQ124	Event types shall include modifying a requirement.,TC156,assertions_verified,full,False,"The test explicitly specifies a modify event and asserts postconditions that the requirement is changed and a modify event message is sent, directly covering the requirement statement."
RQ125,requirements.txt::chunk25,RQ125	Event types shall include deleting a requirement.,TC157,assertions_verified,full,False,"The test explicitly specifies a delete event and asserts that a delete event message is sent and requirement status is updated, directly demonstrating that the system includes and handles a delete event type."
RQ126,requirements.txt::chunk26,RQ126	Event types shall include merging requirements.,TC158,assertions_verified,full,False,"The test explicitly specifies a 'merge event' and asserts that a 'merge event message is sent' and that requirements are merged, which directly satisfies the requirement that event types include merging requirements."
RQ127,requirements.txt::chunk27,RQ127	The eventserver shall receive event messages when a requirement changes.,TC159,partially_verified,full,True,This test directly asserts that the event server receives an event message (covers the 'receive' action required by RQ127).
RQ127,requirements.txt::chunk27,RQ127	The eventserver shall receive event messages when a requirement changes.,TC156,partially_verified,partial,True,This test asserts that a requirement change causes a modify event message to be sent but does not assert that the eventserver receives that message.
RQ128,requirements.txt::chunk28,RQ128	On receipt of an event message the eventserver shall record the event in an eventlog.,TC159,assertions_verified,full,False,"The test's assertion ""The event server stores event details in its event log."" directly matches the requirement to record the event in an eventlog."
RQ129,requirements.txt::chunk29,RQ129	On receipt of an event; the eventserver shall identify all relevant subscribers for the event.,TC160,partially_verified,partial,True,"The test directly asserts that all relevant subscribers are identified for a received event (core path) but is high-level and omits error, boundary, and negative-case assertions."
RQ130,requirements.txt::chunk30,RQ130	The eventserver shall differentiate between evolutionary and speculative events.,TC159,assertions_verified,full,False,"Direct assertion matches the requirement phrase exactly: ""The event server categorizes each event according to whether it is speculative or evolutionary."""
RQ130,requirements.txt::chunk30,RQ130	The eventserver shall differentiate between evolutionary and speculative events.,TC161,assertions_verified,partial,False,"Shows handling of an evolutionary event (precondition: ""The event server has received an evolutionary event message.""), implying differentiation occurred earlier but does not assert the classification step."
RQ130,requirements.txt::chunk30,RQ130	The eventserver shall differentiate between evolutionary and speculative events.,TC162,assertions_verified,partial,False,"Shows handling of a speculative event (precondition: ""The event server has received a speculative event message.""), implying differentiation occurred earlier but does not assert the classification step."
RQ131,requirements.txt::chunk31,RQ131	When an evolutionary event occurs; the eventserver shall notify subscribers of the event.,TC147,partially_verified,full,True,"Explicitly links a requirement change (interpretable as an evolutionary event) to sending an event notification to a subscriber manager, covering the core notification action."
RQ131,requirements.txt::chunk31,RQ131	When an evolutionary event occurs; the eventserver shall notify subscribers of the event.,TC161,partially_verified,full,True,"Directly demonstrates detection of an evolutionary event, construction of a notification, sending to subscriber managers, and expected receipt — satisfying the core happy path."
RQ131,requirements.txt::chunk31,RQ131	When an evolutionary event occurs; the eventserver shall notify subscribers of the event.,TC149,partially_verified,partial,True,"Shows notifications are delivered to subscriber managers and stored locally, but does not prove initiation from evolutionary classification or delivery to end-subscribers."
RQ131,requirements.txt::chunk31,RQ131	When an evolutionary event occurs; the eventserver shall notify subscribers of the event.,TC159,partially_verified,partial,True,Validates detection/classification of evolutionary events (a necessary precursor) but lacks an assertion that classification triggers notification to subscribers.
RQ132,requirements.txt::chunk32,RQ132	For speculative events; the eventserver shall construct a composite event message.,TC162,assertions_verified,full,False,"The test directly asserts construction of the composite event message including the changed requirement and quantitative constraints, and the test text also describes sending the customized message to relevant subscribers."
RQ133,requirements.txt::chunk33,RQ133	The eventserver shall identify all related requirements and constraints for each impacted executable model.,TC162,partially_verified,full,True,"These lines explicitly state identification of related requirements, retrieval of quantitative constraints from DOORS, and inclusion of those constraints in a composite event message, matching the requirement's core behavior for the speculate event path."
RQ133,requirements.txt::chunk33,RQ133	The eventserver shall identify all related requirements and constraints for each impacted executable model.,TC160,partially_verified,partial,True,"These lines assert identification of impacted requirements and subscriber discovery but do not assert retrieval of constraints, assurance of 'all' related requirements, or per-impacted-model enumeration."
RQ134,requirements.txt::chunk34,RQ134	The eventserver shall retrieve quantitative values related to these additional requirements and constraints through querying the requirements management tool.,TC162,assertions_verified,full,False,"The test step explicitly describes polling DOORS to obtain additional quantitative information and using those quantitative constraints in the event message, directly satisfying the requirement."
RQ135,requirements.txt::chunk35,RQ135	The eventserver shall create a composite speculative message which includes the speculative event plus all related requirements and constraint values for each impacted model.,TC162,assertions_verified,full,False,"The test steps directly describe identifying related requirements, polling DOORS for quantitative constraints, constructing the composite message including the changed requirement and constraints, and sending the customized message to the subscriber."
RQ136,requirements.txt::chunk36,RQ136	The eventserver shall send the customized message to each impacted executable model.,TC162,partially_verified,full,True,These lines directly assert construction of a per-subscriber composite/customized message and that the customized message is sent to the relevant subscriber for speculative events.
RQ136,requirements.txt::chunk36,RQ136	The eventserver shall send the customized message to each impacted executable model.,TC161,partially_verified,partial,True,This line asserts messages are sent to each relevant subscriber manager (covers delivery target enumeration) but does not assert that messages are customized per impacted executable model or that delivery is confirmed.
RQ137,requirements.txt::chunk37,RQ137	The user shall view all evolutionary events received for a specific artifact in the order in which they were received.,TC163,partially_verified,partial,True,"Direct assertion that event messages for a single artifact are displayed in the order received, but it does not unambiguously assert completeness ('view all') or boundary/error behaviors."
RQ137,requirements.txt::chunk37,RQ137	The user shall view all evolutionary events received for a specific artifact in the order in which they were received.,TC164,partially_verified,partial,True,"Enforces processing order (system prohibits processing a non-first event), which corroborates ordering but does not verify that the UI displays all received events or handles boundary/error scenarios."
RQ138,requirements.txt::chunk38,RQ138	The user shall update related artifacts according to the information contained in the event messages.,TC165,assertions_verified,full,False,"The test step requires the user to update artifacts based on event message content and the postcondition verifies that links were changed per the user's directions, directly matching the requirement."
RQ139,requirements.txt::chunk39,RQ139	The user shall eliminate unnecessary traces that were temporarily constructed by the eventserver during initial event processing.,TC165,assertions_verified,full,False,Directly asserts the user discarding tentative links and the removal of event messages that were generated because of those tentative links.
RQ140,requirements.txt::chunk40,RQ140	The notification processing system shall automatically eliminate any events that are not longer valid as a result of the user eliminating temporary traces.,TC165,partially_verified,partial,True,"The postcondition directly asserts removal from the processing list/display when a tentative link is eliminated, but it omits assertions about automatic timing, persistence, concurrency, and system-wide scope."
